kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,"USER USER USER USER Yah iki metu konteks, dasar pekok.","USER USER USER USER Lah ngomongmu keluar konteks, dasare pekok.","USER USER USER USER Heh ra nyambung blas, keluar konteks, dasar pekok.","USER USER USER USER Ya kok malah metu konteks, pekok tenan.","USER USER USER USER Woy omonganmu metu konteks terus wae, dasar pekok.",hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"Ngatur harga beras wae ora iso, kok isih ngaku penguasa, cok jancok. Ojo sok presiden, munduro saiki, dasar ra nduwe isin, raimu cok.","Stabilke rega beras aja gak mampu, kok iso-isonya dadi penguasa, cok, jancok. Mundur wae, cok, kamu presiden memalukan, raimu cok.","Harga beras aja gak karuan, nyetabilke wae gak becus, kok malah jadi presiden, cok jancok. Lengser wae kono, cok, dasar ora duwe malu, raimu cok.","Ngestabilke harga beras bae amburadul, ngaku-aku penguasa, cok, jancok. Wis mundur tok, cok, presiden kok ngono, raimu ora nduwe isin, cok.","Stabilin harga beras aja kagak bisa, kok sok-sokan jadi penguasa, cok jancok. Munduro, cok, jadi presiden tapi gak punya malu, raimu cok.",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,"USER terus lambeku iki kudu piye mih 😭😭 aku luwih seneng palawija tinimbang nasi, mangan nasi mung telung dina sepisan, kadhang males","USER trus lambeku kudu dadi lambe opo sih mih 😭😭 aku malah doyan palawija ketimbang nasi, makan nasi paling 3 hari sepisan, kadang mager","USER terus lambeku iki lambe opo to mih 😭😭 aku lbh demen palawija drpd nasi, nasianku paling telung dina pisan wae, kdg males","USER trus lambeku piye iki, lambe apa mih 😭😭 aku prefer palawija timbang nasi, mangan nasi yo mung saben telung dina pisan, kadang yo males","USER terus lambeku lambe opo maneh mih 😭😭 aku lbh suka palawija daripada nasi, makan nasi tiga hari sekali aja, kadang malas",not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","USER gw jg mau klo hts model ngene, drpd hts yg pengen cuman gw doang, asu","USER w juga pengen kalo hts kyk ngono iki, ketimbang hts yg maunya cuma w thok, asu","USER gue jg oke klo hts begini, daripada hts yg pgnnya cuma gue tok, asu tenan","USER w mah hayuk kalo hts model ngene iki, drpd hts yg niatnya cmn gw sendiri, asu","USER gw juga sreg klo hts kyk ngono, mending drpd hts yg kepengen cuma gw tok, asu",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,"Ah jancok, aku lali, di bawah ono anak UKM lagi latian, shshshshhs, takuttt :v","Jancok ah, lupa, di bawah ternyata ana bocah UKM lagi latian, SHSHSHSHH, takuttt :v","Astaga jancok, tak kira sepi, ndilalah di bawah ana anak UKM latihan, shshshshs, takut :v","Jancok, lali aku, ngisor ana anak UKM lagi latihan, SHSHSHSH, kaget rek, takuttt :v","Ah jancok, sempet lali, di bawah ada anak UKM pada latian, shshshsh, takut beneran :v",not hate speech
USER Njir gundulmu part time 8 jam libur segitu,"USER njir gundulmu, part time 8 jam, libure mung segitu?","USER anjir gundulmu, kerja part-time 8 jam, liburnya segitu doang","USER njir gundulmu, part-time kok 8 jam, libur sakmono wae","USER anjay gundulmu, part time 8 jam yo, libur ngono tok","USER walah gundulmu, part-time 8 jam, libure cuma segitu",not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,USER Sing masang tulisan Muhammadiyah kuwi ra mudheng Muhammadiyah. Sontoloyo.,USER Wong sing ngepos tulisan Muhammadiyah iki ora paham Muhammadiyah. Sontoloyo.,USER Sing upload tulisan Muhammadiyah kae gak ngerti Muhammadiyah. Sontoloyo.,USER Sing nempelin tulisan Muhammadiyah itu gak mudeng Muhammadiyah. Dasar sontoloyo.,USER Sing ngunggah tulisan Muhammadiyah iki jelas ra paham Muhammadiyah. Sontoloyo.,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","nder, lu sekolah brp tahun, kuliah brp tahun, kok hal receh ngene wae masih nanya ke base? tinggalin aja tuh cowo lu, dia juga bukan hecan, ora ana jaminan hidup lu aman karo cowo model gini; enak banget nyuruh-nyuruh padahal dudu sing biayain, telek tenan menurut gue teh","nder, lu sekolah suwé piro? kuliah suwé piro? perkara sepele ngene kok isih takon base? udah tinggalin aja cowo lu, dia juga dudu hecan, ra ono jaminan urip lu terjamin karo cowo kayak gini; enak bener nyuruh-nyuruh padahal bukan dia sing ngebiayain, telek iki kata gue teh","nder, lu sekolah berapa taun, kuliah berapa taun, kok soal gini aja masih nanya ke base? tinggalin wae cowo lu, wong dia uga bukan hecan, ra ana garansi urip lu dijamin karo cowo beginian; enak ae nyuruh-nyuruh padahal dudu sing bayar, telek bener menurut gue teh","nder, sekolahmu piro taun sih? kuliahmu piro taun? hal segampang iki kok isih perlu nanya base? tinggalin aja cowo lu, toh dia uga ora hecan, ora ana jaminan uripmu keurus karo cowo kayak gitu; enak aja nyuruh-nyuruh padahal dudu dia sing biayain, telek lah gue bilang teh","nder, lu sekolah berapa lama? kuliah berapa lama? kok perkara segini aja masih lu tanyain ke base? tinggalin wae cowo lu, dia juga bukan hecan, ga ada jaminan hidup lu ke-handle karo cowo model ngene; enak banget nyuruh-nyuruh padahal ora dia sing ngeluarin duit, telek pokoknya kata gue teh",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","tai gara2 pake Apple Music 3 bulan, top songs gue jadi pada aneh, minutes listened-nya cuma 15k doang asu https://t.co/DUErp8DPAI","gara2 Apple Music iki, 3 wulan top songsku jadi aneh kabeh, minutes listened cuma 15k maneh, asu https://t.co/DUErp8DPAI","anjir gara2 tak pake Apple Music 3 bulan, top songs gue kok iso jadi ngaco, minutes listened tinggal 15k tok, asu https://t.co/DUErp8DPAI","gara2 langganan Apple Music 3 sasi, top songsku dadi kacau, minutes listened mung 15k wae, asu tenan https://t.co/DUErp8DPAI","tai, pake Apple Music 3 bulan malah bikin top songs gua aneh, minutes listened-nya balik cuma 15k, asu kok https://t.co/DUErp8DPAI",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","USER wedus ketir, ketir tok, wedus ketir. wedus sing pancen kambing, malah kaya domba banget. billie ellis dodol pecel. ojo nganti wedus nyolong apel","USER wedus gemeter, wedus ketir pisan, wedus ketir maneh. wedus yang bener-bener kambing, mirip domba banget. billie ellis dodol pecel. aja nganti wedus colong apel","USER, wedus kedinginan, wedus ketir pol, wedus ketir. wedus sing sangat kambing, sing malah kaya domba. billy ellis dodol pecel. ojok nganti wedus nyikat apel","USER wedhus ketir-ketir, wedus ketir, wedus gemeteran. wedus yang super kambing, sekaligus kayak domba. billie ellis dodol pecel. ojok nganti wedus ngutil apel","USER wedus ketir wae, ketir terus, wedus ketir. wedus itu kambing banget, malah persis domba. billie ellis dodol pecel. ojo nganti wedus nyomot apel",not hate speech
