kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER Pala kanjut ngapain dimari urusin tuh temen2 lu yang pada puter balik ga bisa away,"USER USER USER Anjir, maneh ngapain didieu? Geura uruskeun eta temen2 lu nu pada puter balik, pada teu bisa away.","USER USER USER Eh bro, di mari rek naon sih? Urusin heula atuh temen2 lu nu puter balik, maranehna teh teu bisa away.","USER USER USER Woy, ulah nempel di mari wae, mending geura bantu temen2 lu nu pada puter balik, can bisa away kitu.","USER USER USER Santuy atuh, tapi tolong urus temen2 lu nu puter balik, da eta mah teu bisa away, beneran.","USER USER USER Naha bet di dieu wae, men? Uruskeun heula temen2 lu nu baralik, pada teu bisa away, ulah sok lalawora.",hate speech
"USER pasukan jurig aja kan lebih dari 20 orang 🤣 yaudah baguslah kalo dah dikasih paham, semoga dia tau diri, awas aja kalo masih diulang 🥰🫵","USER pasukan jurig mah leuwih ti 20 wkwk 😂 yaudah, alus lah mun geus ngarti, moga manehna nyadar diri, tong diulang deui ya 😘👉","USER pasukan jurig teh banyak pisan, leuwih ti 20 orang 😅 syukur ayeuna geus dipaparin paham, sing manehna leuwih eungeuh, ulah diulang deui atuh 🙏","USER pasukan jurig aja beu, 20++ orang eta 😏 okeh, bagus kalo udah dijelaskeun nepi ka paham, sing apal diri, inget we, ulah ngulang-ngulang deui 👀","USER pasukan jurig rame pisan euy, leuwih ti 20 urang 🤭 mantul lah kalo udah dikasih ngarti, semoga maneh jadi leuwih santuy, jangan diulang deui atuh ya ✨","USER pasukan jurig mah kabina-bina, 20-an urang weh 😆 yaudah, alus pisan kalo geus dipahamkeun, mudah-mudahan manehna jadi sadar, hati-hati, tong diulang deui plis 🥺",not hate speech
saran gw tiap diganggu kalo emg udh muak ngomong kasar aja bangh. aku tiap diganggu jurig selalu ngomong kasar 👌,"Saran gue mah, mun tiap diganggu trus udh muak, ngomong tegas wae bang; gue kalo diganggu jurig sok ngegas dikit 😂","Gw nyaranin, kalo emg udah kesel pisan, ngomong agak kasar saeutik ge gpp; tiap jurig ngaganggu teh gue suka ngagerentes atuh.","Menurut gw, mun aya nu ngaganggu terus, capek mah wajar, tinggal diomelin sakedik bae; aku kalo jurig dateng sok ngomel, ""enyah atuh!"" 👋","Kalem we, kalo bener-bener muak diganggu, ngomong galak saeutik oge teu nanaon; gue mah tiap dihaja ku jurig sok dihardik heula biar cicing.","Tip aja: kalo sering diganggu sampe bete, boleh ngomong rada kasar, nu penting teges; kuring lamun diganggu jurig biasana nyeplos wae 😅",not hate speech
"Punya Nama Horor, Pesona Leuwi Jurig Garut: Lokasi, Fasilitas, dan HTM https://t.co/qO7MHnwUdy","Ngarana horor, tapi pesona Leuwi Jurig Garut mah geulis pisan! Lokasi, fasilitas, jeung HTM-na cek di sini: https://t.co/qO7MHnwUdy","Serem di ngaran, aslinya mah asri atuh! Leuwi Jurig Garut: info lokasi, fasilitas, jeung harga tiket masukna, cek heula di link ieu https://t.co/qO7MHnwUdy","Punya nama rada horor, tapi vibes-nya nenangkeun euy. Leuwi Jurig Garut: lokasi, fasilitas, HTM lengkapna aya di dieu: https://t.co/qO7MHnwUdy","Leuwi Jurig di Garut, ngaran horor tapi pesona na juara pisan. Rincian lokasi, fasilitas, jeung HTM-na baca di dieu atuh: https://t.co/qO7MHnwUdy","Teu kudu sieun ku namana, Leuwi Jurig mah cakep pisan keur healing. Lokasi, fasilitas, sarta HTM? Lengkap di link ieu: https://t.co/qO7MHnwUdy",not hate speech
HEH SETAN!! Kalo mau ngamuk sana ke agensi babik pink SM yang gak ngotak itu. Ngapain nyindir2 dan nyampah di postingan TY? Gw juga gak mau cb tumbang tindih gak jelas kayak gini. Gak pengen cbnya TY DIBURU2 atau DIGANGGU yg lain. KOPLOK SIA TEH KEHED!!   https://t.co/94wZiBrlSX,"HEH SETAN! Kalo mau ngamuk mah sana ka agensi babi pink SM anu teu boga otak eta, ulah ngotorin postingan TY. Nyindir2 keur naon sih? Gw oge teu sudi liat cb jadi tumpang tindih teu jelas kieu. Teu hayang cb TY DIBURU2 atawa DIGANGGU ku nu lain. GOBLOK SIA, KEHED!","Yaelah setan, lamun hayang drama balik wae ka agensi pink SM nu bebal eta, ulah nyampah di post TY atuh. Nyindir2 mulu, capek tau? Gw pusing liat cb teh tumpang tindih siga naon. Pokona cb TY ulah diganggu ku batur. Sia teh koplok pisan, kehed!","SETAN! Sana ngamukna di agensi pink SM nu teu make otak, lain di dieu nyampah. Nyindir2 naon atuh? Gw teu butuh liat cb kacau, tumpang tindih kitu. CB TY TEU KUDU DIBURU-BURU, ulah diganggu ku nu séjén. MENEH KOPLOK, KEHED SIA!","Hei setan, otak dimana? Kalo mau ribut geura ka agensi babik pink SM nu bego teh, ulah ngaco di postingan TY. Nyindir2 jeung nyampah teh naon gunana? Gw teu mau cb jadi kacau teu puguh. CB TY ULAH DIKEJAR2, ulah diganggu batur. SIA BELEGUG, KEHED ATUH!","Astagah setan, drama maneh mah capékeun. Geura atuh ka agensi pink SM nu kopong eta, ulah nyampah di feed TY. Nyindir2 bae naon sih? Gw teu resep cb jadi tumpang tindih teu jelas. CB TY teu kudu dikejar2, ulah diganggu ku nu séjén. Kehed sia, koplok!",hate speech
unpad kampus tp kaga ada penerangan yg bener anjr kalo malem kyk jurig jalanannya,"Unpad kampus tapi penerangan mah kurang pisan, anjr; kalo malem poek, jalanna jadi kaya jurig.","Kampus Unpad geulis sih, tapi pas malem poek teuing, jalanna kyk jurig-jurigan; kudu nambah lampu atuh.","Punten, di Unpad kalo malem lampu jalan teh minim, jadi rada horor siga jurig; meureun bisa dibenerkeun?","Malem-malem di area Unpad mah poek, penerangan na teu bener, sampe kesannya kaya jurig ngalayang di jalan.","Unpad oke, tapi kalo malem peneranganna kurang, jadi kasieun, jalanna kyk tempat jurig; tolong diperbaiki dong.",not hate speech
"USER kaga nyambung tot, balik lu kehed","USER ngomong naon sih, teu nyambung pisan, balik wae lu kehed.","USER bacot lu ngaco, teu nyambung euy, mending cabut bae, goblog kehed.","USER dari tadi kaga nyambung, atuh cicing we, lu bego, kehed!","Wih pinter pisan ya, USER, padahal mah teu nyambung; hayu balik we, kehed.","USER, obrolan teh teu nyambung gara-gara lu; udahan gih, kehed pisan.",hate speech
"Aing capek deh lama lama kenal sama cowok yg resep bobolaan, sok poho ka awewe sorangan anying 😡","Aing muak pisan, eta cowok tukang bobolaan teh, sok poho ka awewe sorangan, dasar anying teu boga otak.","Lama-lama aing kesel euy, si lalaki resep bobolaan mulu, nepi sok poho ka cewe na sorangan, anjing pisan atuh.","Heueuh bangga pisan maneh, resep bobolaan teuing, terus poho ka awewe sorangan, goblog, anying!","Aing bosen beurat, eta cowok mah hobi bobolaan, ka awewe sorangan wae sok dipohokeun, bajingan, jahanam.","Capek atuh, kenal jeung cowok tukang bobolaan, nu sok poho ka pasangan sorangan, dasar beungeut anjing, teu guna.",hate speech
"aduh dara ih maneh ih yaallah koplok ih, naha anjr naha kt gw teh dar? yaallah bad choice bgt dar sia gelo","Aduh dar, maneh teh kumaha sih? ya Allah goblog pisan, bad choice bgt, sia teh gelo!","Anjir dara, gw sampe pusing liat maneh, koplok atuh, pilihan maneh mah parah bener, edan sia.","Astaga dar, lu teh belegug wae, naha milih kieu? bad choice pisan, sia teh ngaco.","Yaelah dar, teu diajar-diajar, goblok level dewa, pilihan na kacau bgt, sumpah sia pikasebeleun.","Astagfirullah dara, maneh teh kehed, kumaha sih? bad choice mulu, sia edan bener.",hate speech
gw lagi aja tai topik ributnya. gw kaga ngapa2in dari dulu kehed bgt,"Gw jadi bae topik ributna, padahal ti baheula mah gw teu ngapa2in, kehed pisan rasana.","Kenapa sih tiap ribut, gw deui nu jadi sasaran? Dari tadi mah gw kaga ngapa2in, kehed bgt.","Anjir atuh, tiap ribut topiknya balik deui ka gw; padahal ti tadi oge gw ga ngapa2in, kehed pisan.","Capek atuh, gw lagi-lagi jadi bahan omongan pas ribut; dari dulu mah gw teu ngapa2in, kehed weh.","Yaudah lah, ribut mah ujug-ujug nembak ke gw lagi, padahal ti baheula oge gw kagak ngapa2in, kehed teuing.",not hate speech
"Dimulai dari sini, gua langsung kepikiran sama si anak jurig aka Kim Gimyong https://t.co/nDm7kCxSl4","Dari sini mah, gue langsung keinget si anak jurig alias Kim Gimyong, wkwk https://t.co/nDm7kCxSl4","Barusan liat bagian ieu, gua auto kepikiran ka si ‘anak jurig’ a.k.a. Kim Gimyong; gemes pisan euy 😂","Dimimitian ti dieu, gue jadi inget deui ka si anak jurig aka Kim Gimyong—vibenya mirip atuh","Mulai di titik ieu, gua langsung nyambungna ka si anak jurig alias Kim Gimyong, santuy we https://t.co/nDm7kCxSl4","Pas bagian ieu, gue kepikiran weh ka si anak jurig a.k.a. Kim Gimyong; teu maksud nyinggung, cuma bercanda",not hate speech
anjiw celana pembagian kegedeannya segede sebelah kakinya bisa jadi rok span aing,"Anjiw, pembagian ukuran celana na kegedean pisan, segede sakaki, mending jadi rok span wae keur aing.","Duh, itu celana bagiannya kebesaran teuing, segede sebelah kaki, jadinya kayak rok span aing.","Hadeuh, ukuran pembagian celana teh gede pisan, boro-boro pas, segede hiji kaki, bisa dijadiin rok span keur aing mah.","Ck, celana pembagian size na lebay, gede siga sakaki, ujug-ujug mirip rok span buat aing.","Sumpah, pembagian celana na teu nyambung, kegedean sakumaha sakaki, yaudah jadi rok span aing weh.",not hate speech
Bjir.... Jurig juga kesepian sampe ngebiasin cowo ganteng biar ga kesepian 🥹🥹🥹,"Waduh atuh... jurig ge kayanya magabut, nepi ka ngebiasin cowo ganteng supaya teu sepi 😂","Astaghfirullah euy, jurigna baper pisan, meureun neangan sobat, jadi nge-bias-in si cowo ganteng biar teu nyalira 🥹","Hadeuh, jurig mah lonely mode on, sok we ngebiasin nu kasep biar teu sepi teh 😭✨","LOL atuh, jurig kieu teh butuh kawan, makanya nge-bias-in cowo ganteng, biar rame we, teu galau deui 😆","Kumaha nya, jurig oge boga perasaan, tepi ka nge-bias-in cowo ganteng supaya aya nu ngabaturan, teu sepi deui 🫶",not hate speech
