kalimat asli,augmented 1,augmented 2,augmented 3,augmented 4,augmented 5,label
USER USER USER USER Yah keluar konteks dasar pekok,USER USER USER USER Wah ngomong ngawur terus dasar bodoh,USER USER USER USER Eh malah nyimpang pembahasan dasar goblok,USER USER USER USER Lah kok malah ngomongin liyane dasar edan,USER USER USER USER Aduh keluar jalur diskusi dasar tolol,USER USER USER USER Ih malah bahas sing liyane dasar ora nduwe otak,hate speech
USER Menyetabilkan harga beras aja gak becus kok jadi penguasa cok jancok.munduro cok kamu jadi presiden dasar gak punya malu raimu cok,"Ngatur traffic macet wae ora iso kok dadi walikota cok jancok, turun wae cok saking jabatanmu dasar gak nduwe wirang raimu cok","Benerin jalan rusak wae gak mampu kok pengen jadi gubernur cok jancok, mundur wae cok saking kursimu dasar ora nduwe isin mukamu cok","Ngatasi banjir wae gak becus kok dadi pejabat cok jancok, resign wae cok saking posisimu dasar gak punya malu awakmu cok","Ngurus pendidikan wae ora bisa kok malah pengen naik jabatan cok jancok, minggat wae cok saking tempatmu dasar gak nduwe wirang raimu cok","Benahi sistem kesehatan wae gak iso kok bangga dadi menteri cok jancok, turun pangkat wae cok dasar ora punya malu mukamu cok",hate speech
USER trus lambeku lambe opo mih😭😭😭 aku lbh seneng palawija ketimbang nasi mkn nasi tiga hari sekali ja kdg males,USER terus mataku mata opo mih😭😭😭 aku lbh seneng kopi ketimbang teh minum teh seminggu sekali ja kdg males,USER trus awakku awak opo mih😭😭😭 aku lbh seneng motor ketimbang mobil naik mobil sebulan sekali ja kdg males,USER terus sirahku sirah opo mih😭😭😭 aku lbh seneng kucing ketimbang anjing piara anjing setahun sekali ja kdg males,USER trus tangane tangan opo mih😭😭😭 aku lbh seneng game ketimbang film nonton film dua hari sekali ja kdg males,USER terus kupingku kuping opo mih😭😭😭 aku lbh seneng dangdut ketimbang pop denger pop lima hari sekali ja kdg males,not hate speech
"USER w jg mau kl hts model bgini, drpd hts yg pgn cm gw asu","Aku yo pengen nek ada job freelance koyok ngene, daripada kerja sing mung stress ae cok","Pengen banget kalo ada kesempatan belajar ginian, drpd belajar sing cuma buang waktu wae lah","Gue juga mau sih kalo ada event bagus begini, daripada acara yang boring abis anjir","Aku yo kepingin nek bisa dapet pelatihan model koyok gini, tinimbang training sing ga jelas manfaate","Mau dong kalo ada workshop keren beginian, daripada seminar yang ngantuk-ngantukan doang woy",not hate speech
AH JANCOK LUPA DIBAWAH ADA ANAK UKM LATIAN SHSHSHSHHS takuttt:v,WAH ANJRIT lupa nek ngisor ana mahasiswa lagi presentasi HAHAHAHAHA isin banget :v,ASTAGA BANGSAT kelingan yen ing ngisor kuwi ana wong turu WKWKWKWK kapok aku :v,YA AMPUN KONTOL lali nek nang basement ana cleaning service kerja HEHEHEHE males banget :v,ADUH SIAL banget lupa kalo di bawah ada tetangga lagi meeting online KWKWKWK awkward pol :v,WKWK SIALAN emang lupa nek ngisor kuwi ana bocah-bocah lagi ngaji HAHAHA kaget aku :v,not hate speech
USER Njir gundulmu part time 8 jam libur segitu,Wah mobilmu bekas tapi performanya mantap tenan cok,Lah laptopmu second hand tapi speknya ngalahno sing anyar,Astaga rumahmu kontrakan tapi interiornya mewah pol,Njir sepedamu jadul tapi kecepatannya kalah-kalahan karo motor,Waduh hpmu lama tapi masih lancar jaya gak lemot,not hate speech
USER Sik masang tulisan muhammadiyah itu gak mudeng muhammadiyah. Sontoloyo,Sik masang foto parpol iku gak ngerti politik. Goblok tenan,Sing posting tentang agama liyane malah gak paham agamane dewe. Edan,Masang status feminisme tapi kelakuane koyok preman. Tolol,Sik ngomong hak buruh malah eksploitasi karyawan. Bajingan,Posting soal lingkungan hidup tapi sampah sembarangan. Idiot,hate speech
"nder, lu sekolah berapa tahun? kuliah berapa tahun? hal segini masih lu pertanyakan ke base? tinggalin aja cowo lu soalnya dia bukan hecan juga, gaada jaminan hidup lu terjamin sama cowo gini, enak aja nyuruh-nyuruh padahal bukan di yang biaya-in, telek kata gue teh","eh mbak, kowe sekolah nganti kapan? kuliah berapa semester? masalah gampang kaya gini kok mesti tanya-tanya ke grup? buang aja tuh gebetan soalnya dia bukan sultan juga, gaada jaminan masa depan kowe cerah sama cowok kayak gitu, enak banget nyuruh-nyuruh padahal bukan dia yang modal-in, sialan emang","bro, lu kuliah dimana sih? kerja udah berapa tahun? pertanyaan receh gini kok dibawa ke forum? lepas aja cewek lu karena dia bukan artis juga, mana ada jaminan karir lu maju sama cewe begini, enaknya aja ngatur-ngatur padahal bukan dia yang investasi, kampret kata gue","dek, kowe sekolah sampai mana? magang berapa bulan? hal sepele begini masih mesti nanya ke temen? ninggalin aja pacar lu soalnya dia bukan model juga, kagak ada kepastian bisnis lu lancar sama cowo gini, asik aja komando-komando padahal bukan dia yang dukung finansial, tai kucing menurut gue","sis, lu pendidikan terakhir apa? pengalaman kerja berapa taun? masalah gampang kayak gini kok harus konsultasi sama bestie? buang aja suami lu karena dia bukan pejabat juga, mana mungkin ada jaminan usaha kowe sukses sama laki begitu, enak bener ngomelin padahal bukan dia yang backup, bangsat emang tuh orang","mas, kowe kuliah jurusan apa? magang di perusahaan mana? hal basic gini kok masih tanya ke senior? cabut aja dari hubungan sama dia soalnya bukan crazy rich juga, kagak bakal ada jaminan startup lu berkembang sama partner kayak gini, enaknya doang ngasih instruksi padahal bukan dia yang funding, keparat banget",hate speech
"tai ggra pake apple music 3 bulan top songs gua jd aneh, minutes listenednya cm 15k lagi asu https://t.co/DUErp8DPAI","anjir Netflix gua udah langganan setahun kok filmnya tetep gitu-gitu wae, history watchingnya cuma 20 jam doang cok","lah iya Spotify premium 6 bulan playlist gua malah ancur kabeh, total hoursnya cuma 12k menit asu","kampret Grab premium udah bayar mahal kok driver ratingnya tetep jelek, total tripnya cuma 50x doang bangsat","sial YouTube premium langganan 4 bulan videonya tetep buffering terus, watch timenya cuma 8k menit njir","tai Instagram premium subscribe 2 bulan feednya malah makin aneh wae, engagement ratenya turun drastis cok",not hate speech
"USER wedus ketir, wedus ketir, wedus ketir. wedus yang sangat kambing, yang sangat domba. billie ellis dodol pecel. ojok nganti wedus nyolong apel","pitik jago, pitik jago, pitik jago. pitik sing gedhe banget, sing apik tenan. sarah jessica parker tempe gudeg. ojo nganti pitik mangan roti","kucing oren, kucing oren, kucing oren. kucing yang lucu banget, yang gemesin poll. tom cruise bakso soto. ojok sampek kucing nyolong ikan","bebek putih, bebek putih, bebek putih. bebek sing imut banget, sing ayu tenan. angelina jolie kerupuk gado-gado. aja nganti bebek ngambil jagung","sapi bule, sapi bule, sapi bule. sapi yang gembul banget, yang sehat poll. leonardo dicaprio tahu kupat. ojok nganti sapi nyomot bayem","kerbau item, kerbau item, kerbau item. kerbau sing kuat banget, sing gagah tenan. jennifer lawrence tempe rawon. ojo sampek kerbau ngambil tebu",not hate speech
